
РЕЗУЛЬТАТ ЧАСТОТНОГО АНАЛИЗА ШИФРОТЕКСТА,
ПОЛУЧЕННОГО ШИФРОВАНИЕМ ТЕКСТА НА
АНГЛИЙСКОМ ЯЗЫКЕ, В РЕЖИМЕ ШИФРОВАНИЯ CFB,
РАЗМЕРОМ 16832565 БАЙТОВ.

------------------------------------------
| HEX | DEC | CHR |  QUANTITY  | PERCENT |
------------------------------------------
|  BA | 186 |     |      66371 |   0.39% |
|  A1 | 161 |     |      66361 |   0.39% |
|  36 |  54 |   6 |      66356 |   0.39% |
|  EF | 239 |     |      66350 |   0.39% |
|  06 |   6 |     |      66325 |   0.39% |
|  51 |  81 |   Q |      66281 |   0.39% |
|  2B |  43 |   + |      66259 |   0.39% |
|  E3 | 227 |     |      66217 |   0.39% |
|  9E | 158 |     |      66175 |   0.39% |
|  9C | 156 |     |      66175 |   0.39% |
|  CE | 206 |     |      66145 |   0.39% |
|  38 |  56 |   8 |      66132 |   0.39% |
|  15 |  21 |     |      66127 |   0.39% |
|  4B |  75 |   K |      66116 |   0.39% |
|  79 | 121 |   y |      66115 |   0.39% |
|  64 | 100 |   d |      66114 |   0.39% |
|  A8 | 168 |     |      66113 |   0.39% |
|  E8 | 232 |     |      66101 |   0.39% |
|  76 | 118 |   v |      66097 |   0.39% |
|  6F | 111 |   o |      66079 |   0.39% |
|  37 |  55 |   7 |      66075 |   0.39% |
|  F4 | 244 |     |      66057 |   0.39% |
|  DD | 221 |     |      66054 |   0.39% |
|  C6 | 198 |     |      66049 |   0.39% |
|  CF | 207 |     |      66048 |   0.39% |
|  93 | 147 |     |      66046 |   0.39% |
|  83 | 131 |     |      66045 |   0.39% |
|  F5 | 245 |     |      66039 |   0.39% |
|  D7 | 215 |     |      66038 |   0.39% |
|  80 | 128 |     |      66035 |   0.39% |
|  B5 | 181 |     |      66031 |   0.39% |
|  BB | 187 |     |      66015 |   0.39% |
|  88 | 136 |     |      66014 |   0.39% |
|  C2 | 194 |     |      66006 |   0.39% |
|  92 | 146 |     |      66003 |   0.39% |
|  FF | 255 |     |      66001 |   0.39% |
|  BF | 191 |     |      65997 |   0.39% |
|  A2 | 162 |     |      65996 |   0.39% |
|  68 | 104 |   h |      65991 |   0.39% |
