РЕЗУЛЬТАТ ЧАСТОТНОГО АНАЛИЗА ШИФРОТЕКСТА,
ПОЛУЧЕННОГО ШИФРОВАНИЕМ ФАЙЛА, СОДЕРЖАЩЕГО
202,915,840 ЗНАЧЕНИЙ 0x00, В РЕЖИМЕ
ШИФРОВАНИЯ CFB.

------------------------------------------
| HEX | DEC | CHR |  FREQUENCY | PERCENT |
------------------------------------------
|  3E |  62 |   > |     794988 |  0.39% |
|  2C |  44 |   , |     794965 |  0.39% |
|  44 |  68 |   D |     794823 |  0.39% |
|  DD | 221 |     |     794413 |  0.39% |
|  3C |  60 |   < |     794407 |  0.39% |
|  D6 | 214 |     |     794285 |  0.39% |
|  39 |  57 |   9 |     794237 |  0.39% |
|  0E |  14 |     |     794206 |  0.39% |
|  BB | 187 |     |     794134 |  0.39% |
|  5F |  95 |   _ |     794051 |  0.39% |
|  8F | 143 |     |     793991 |  0.39% |
|  4E |  78 |   N |     793990 |  0.39% |
|  A4 | 164 |     |     793927 |  0.39% |
|  9A | 154 |     |     793911 |  0.39% |
|  52 |  82 |   R |     793887 |  0.39% |
|  F2 | 242 |     |     793886 |  0.39% |
|  3B |  59 |   ; |     793881 |  0.39% |
|  E5 | 229 |     |     793810 |  0.39% |
|  06 |   6 |     |     793804 |  0.39% |
|  6A | 106 |   j |     793803 |  0.39% |
|  05 |   5 |     |     793796 |  0.39% |
|  17 |  23 |     |     793790 |  0.39% |
|  4F |  79 |   O |     793784 |  0.39% |
|  55 |  85 |   U |     793775 |  0.39% |
|  23 |  35 |   # |     793775 |  0.39% |
|  32 |  50 |   2 |     793718 |  0.39% |
|  56 |  86 |   V |     793711 |  0.39% |
|  FA | 250 |     |     793684 |  0.39% |
|  C4 | 196 |     |     793676 |  0.39% |
|  60 |  96 |   ` |     793638 |  0.39% |
|  69 | 105 |   i |     793635 |  0.39% |
|  5B |  91 |   [ |     793618 |  0.39% |
|  CF | 207 |     |     793605 |  0.39% |
|  50 |  80 |   P |     793605 |  0.39% |
|  16 |  22 |     |     793600 |  0.39% |
|  B5 | 181 |     |     793579 |  0.39% |
|  AB | 171 |     |     793575 |  0.39% |
|  46 |  70 |   F |     793566 |  0.39% |
|  E0 | 224 |     |     793555 |  0.39% |
|  2D |  45 |   - |     793546 |  0.39% |
|  A2 | 162 |     |     793536 |  0.39% |
|  AF | 175 |     |     793524 |  0.39% |
|  9B | 155 |     |     793506 |  0.39% |
|  76 | 118 |   v |     793490 |  0.39% |
|  5A |  90 |   Z |     793477 |  0.39% |
|  5D |  93 |   ] |     793469 |  0.39% |
|  DB | 219 |     |     793460 |  0.39% |
|  0F |  15 |     |     793460 |  0.39% |
|  E1 | 225 |     |     793456 |  0.39% |
|  B9 | 185 |     |     793452 |  0.39% |
|  31 |  49 |   1 |     793441 |  0.39% |
|  8B | 139 |     |     793440 |  0.39% |
|  1D |  29 |     |     793438 |  0.39% |
|  29 |  41 |   ) |     793425 |  0.39% |
|  80 | 128 |     |     793393 |  0.39% |
|  BC | 188 |     |     793392 |  0.39% |
|  F7 | 247 |     |     793376 |  0.39% |
|  F8 | 248 |     |     793353 |  0.39% |
|  34 |  52 |   4 |     793343 |  0.39% |
|  3F |  63 |   ? |     793341 |  0.39% |
|  A3 | 163 |     |     793339 |  0.39% |
|  99 | 153 |     |     793334 |  0.39% |
|  B6 | 182 |     |     793325 |  0.39% |
|  35 |  53 |   5 |     793322 |  0.39% |
|  F3 | 243 |     |     793314 |  0.39% |
|  97 | 151 |     |     793282 |  0.39% |
|  53 |  83 |   S |     793281 |  0.39% |
|  8E | 142 |     |     793255 |  0.39% |
|  CE | 206 |     |     793222 |  0.39% |
|  27 |  39 |   ' |     793221 |  0.39% |
|  1B |  27 |     |     793221 |  0.39% |
|  FD | 253 |     |     793215 |  0.39% |
|  BF | 191 |     |     793208 |  0.39% |
|  7A | 122 |   z |     793200 |  0.39% |
|  9C | 156 |     |     793192 |  0.39% |
|  36 |  54 |   6 |     793182 |  0.39% |
|  DF | 223 |     |     793172 |  0.39% |
|  81 | 129 |     |     793161 |  0.39% |
|  C1 | 193 |     |     793152 |  0.39% |
|  21 |  33 |   ! |     793151 |  0.39% |
|  A1 | 161 |     |     793149 |  0.39% |
|  0D |  13 |     |     793144 |  0.39% |
|  B7 | 183 |     |     793137 |  0.39% |
|  86 | 134 |     |     793133 |  0.39% |
|  83 | 131 |     |     793100 |  0.39% |
|  10 |  16 |     |     793099 |  0.39% |
|  C2 | 194 |     |     793090 |  0.39% |
|  48 |  72 |   H |     793083 |  0.39% |
|  B4 | 180 |     |     793076 |  0.39% |
