РЕЗУЛЬТАТ ЧАСТОТНОГО АНАЛИЗА ШИФРОТЕКСТА,
ПОЛУЧЕННОГО ШИФРОВАНИЕМ ТЕКСТА БИБЛИИ НА
АНГЛИЙСКОМ ЯЗЫКЕ, В РЕЖИМЕ ШИФРОВАНИЯ CFB,
РАЗМЕРОМ 4 351 186 БАЙТОВ.

------------------------------------------
| HEX | DEC | CHR |  FREQUENCY | PERCENT |
------------------------------------------
|  0A |  10 |     |      17323 |  0.40% |
|  E2 | 226 |     |      17296 |  0.40% |
|  87 | 135 |     |      17241 |  0.40% |
|  56 |  86 |   V |      17227 |  0.40% |
|  42 |  66 |   B |      17223 |  0.40% |
|  D6 | 214 |     |      17220 |  0.40% |
|  D1 | 209 |     |      17220 |  0.40% |
|  C2 | 194 |     |      17216 |  0.40% |
|  F2 | 242 |     |      17211 |  0.40% |
|  83 | 131 |     |      17208 |  0.40% |
|  DE | 222 |     |      17201 |  0.40% |
|  BA | 186 |     |      17198 |  0.40% |
|  5C |  92 |   \ |      17197 |  0.40% |
|  51 |  81 |   Q |      17189 |  0.40% |
|  0E |  14 |     |      17189 |  0.40% |
|  3B |  59 |   ; |      17180 |  0.39% |
|  F9 | 249 |     |      17178 |  0.39% |
|  6A | 106 |   j |      17178 |  0.39% |
|  AB | 171 |     |      17174 |  0.39% |
|  DC | 220 |     |      17171 |  0.39% |
|  70 | 112 |   p |      17170 |  0.39% |
|  E6 | 230 |     |      17169 |  0.39% |
|  75 | 117 |   u |      17166 |  0.39% |
|  05 |   5 |     |      17156 |  0.39% |
|  C1 | 193 |     |      17151 |  0.39% |
|  AE | 174 |     |      17150 |  0.39% |
|  03 |   3 |     |      17149 |  0.39% |
|  A2 | 162 |     |      17148 |  0.39% |
|  2C |  44 |   , |      17145 |  0.39% |
|  D9 | 217 |     |      17144 |  0.39% |
|  A4 | 164 |     |      17143 |  0.39% |
|  BB | 187 |     |      17141 |  0.39% |
|  85 | 133 |     |      17138 |  0.39% |
|  DA | 218 |     |      17136 |  0.39% |
|  9F | 159 |     |      17136 |  0.39% |
|  A1 | 161 |     |      17135 |  0.39% |
|  54 |  84 |   T |      17133 |  0.39% |
|  39 |  57 |   9 |      17132 |  0.39% |
|  93 | 147 |     |      17130 |  0.39% |
|  48 |  72 |   H |      17129 |  0.39% |
|  38 |  56 |   8 |      17127 |  0.39% |
|  B1 | 177 |     |      17123 |  0.39% |
|  9D | 157 |     |      17123 |  0.39% |
|  B3 | 179 |     |      17122 |  0.39% |
|  8D | 141 |     |      17122 |  0.39% |
|  F0 | 240 |     |      17121 |  0.39% |
|  0D |  13 |     |      17117 |  0.39% |
|  1E |  30 |     |      17115 |  0.39% |
|  C7 | 199 |     |      17110 |  0.39% |
|  FA | 250 |     |      17103 |  0.39% |
|  C6 | 198 |     |      17101 |  0.39% |
|  BE | 190 |     |      17101 |  0.39% |
|  17 |  23 |     |      17099 |  0.39% |
|  11 |  17 |     |      17088 |  0.39% |
|  2E |  46 |   . |      17086 |  0.39% |
|  43 |  67 |   C |      17085 |  0.39% |
|  4B |  75 |   K |      17082 |  0.39% |
|  49 |  73 |   I |      17081 |  0.39% |
|  52 |  82 |   R |      17079 |  0.39% |
|  A7 | 167 |     |      17078 |  0.39% |
|  29 |  41 |   ) |      17078 |  0.39% |
|  D4 | 212 |     |      17075 |  0.39% |
|  6E | 110 |   n |      17075 |  0.39% |
|  E1 | 225 |     |      17074 |  0.39% |
|  74 | 116 |   t |      17073 |  0.39% |
|  C3 | 195 |     |      17072 |  0.39% |
|  B7 | 183 |     |      17072 |  0.39% |
|  3D |  61 |   = |      17070 |  0.39% |
|  18 |  24 |     |      17069 |  0.39% |
|  AD | 173 |     |      17067 |  0.39% |
|  55 |  85 |   U |      17067 |  0.39% |
|  4A |  74 |   J |      17067 |  0.39% |
|  B6 | 182 |     |      17066 |  0.39% |
|  EF | 239 |     |      17062 |  0.39% |
|  4D |  77 |   M |      17062 |  0.39% |
|  27 |  39 |   ' |      17062 |  0.39% |
|  35 |  53 |   5 |      17061 |  0.39% |
|  37 |  55 |   7 |      17060 |  0.39% |
|  B2 | 178 |     |      17059 |  0.39% |
|  26 |  38 |   & |      17058 |  0.39% |
|  5F |  95 |   _ |      17057 |  0.39% |
|  5E |  94 |   ^ |      17057 |  0.39% |
|  5B |  91 |   [ |      17056 |  0.39% |
|  B9 | 185 |     |      17054 |  0.39% |
|  12 |  18 |     |      17053 |  0.39% |
|  8B | 139 |     |      17052 |  0.39% |
|  89 | 137 |     |      17051 |  0.39% |
|  10 |  16 |     |      17050 |  0.39% |
|  0F |  15 |     |      17050 |  0.39% |
|  44 |  68 |   D |      17049 |  0.39% |
|  F8 | 248 |     |      17048 |  0.39% |
|  62 |  98 |   b |      17047 |  0.39% |
|  8E | 142 |     |      17046 |  0.39% |
|  40 |  64 |   @ |      17046 |  0.39% |
|  92 | 146 |     |      17041 |  0.39% |
|  BC | 188 |     |      17039 |  0.39% |
|  3E |  62 |   > |      17038 |  0.39% |
|  E4 | 228 |     |      17036 |  0.39% |
|  14 |  20 |     |      17036 |  0.39% |
|  B0 | 176 |     |      17031 |  0.39% |
|  82 | 130 |     |      17030 |  0.39% |
|  FF | 255 |     |      17029 |  0.39% |
|  CB | 203 |     |      17028 |  0.39% |
|  C4 | 196 |     |      17026 |  0.39% |
|  95 | 149 |     |      17026 |  0.39% |
|  D2 | 210 |     |      17024 |  0.39% |
|  78 | 120 |   x |      17024 |  0.39% |
|  5A |  90 |   Z |      17022 |  0.39% |
|  71 | 113 |   q |      17021 |  0.39% |
|  25 |  37 |   % |      17016 |  0.39% |
|  84 | 132 |     |      17014 |  0.39% |
|  CE | 206 |     |      17012 |  0.39% |
|  C8 | 200 |     |      17010 |  0.39% |
|  E3 | 227 |     |      17009 |  0.39% |
|  AA | 170 |     |      17009 |  0.39% |
|  8C | 140 |     |      17009 |  0.39% |
