РЕЗУЛЬТАТ ЧАСТОТНОГО АНАЛИЗА ШИФРОТЕКСТА,
ПОЛУЧЕННОГО ШИФРОВАНИЕМ ФАЙЛА, СОДЕРЖАЩЕГО
164 794 368 ЗНАЧЕНИЙ 0x00, В РЕЖИМЕ
ШИФРОВАНИЯ CFB.

------------------------------------------
| HEX | DEC | CHR |  FREQUENCY | PERCENT |
------------------------------------------
|  F0 | 240 |     |     645885 |  0.39% |
|  A1 | 161 |     |     645880 |  0.39% |
|  3A |  58 |   : |     645326 |  0.39% |
|  98 | 152 |     |     645325 |  0.39% |
|  D2 | 210 |     |     645258 |  0.39% |
|  9D | 157 |     |     645236 |  0.39% |
|  9B | 155 |     |     645233 |  0.39% |
|  A4 | 164 |     |     645195 |  0.39% |
|  FB | 251 |     |     645185 |  0.39% |
|  63 |  99 |   c |     645168 |  0.39% |
|  70 | 112 |   p |     645052 |  0.39% |
|  A8 | 168 |     |     645047 |  0.39% |
|  30 |  48 |   0 |     644984 |  0.39% |
|  EE | 238 |     |     644969 |  0.39% |
|  2B |  43 |   + |     644962 |  0.39% |
|  85 | 133 |     |     644923 |  0.39% |
|  50 |  80 |   P |     644907 |  0.39% |
|  E7 | 231 |     |     644885 |  0.39% |
|  E0 | 224 |     |     644864 |  0.39% |
|  93 | 147 |     |     644864 |  0.39% |
|  E3 | 227 |     |     644859 |  0.39% |
|  0F |  15 |     |     644855 |  0.39% |
|  84 | 132 |     |     644852 |  0.39% |
|  5D |  93 |   ] |     644815 |  0.39% |
|  5A |  90 |   Z |     644808 |  0.39% |
|  1D |  29 |     |     644791 |  0.39% |
|  45 |  69 |   E |     644773 |  0.39% |
|  0B |  11 |     |     644760 |  0.39% |
|  10 |  16 |     |     644755 |  0.39% |
|  1B |  27 |     |     644730 |  0.39% |
|  DD | 221 |     |     644717 |  0.39% |
|  95 | 149 |     |     644708 |  0.39% |
|  E1 | 225 |     |     644698 |  0.39% |
|  68 | 104 |   h |     644680 |  0.39% |
|  A5 | 165 |     |     644661 |  0.39% |
|  6B | 107 |   k |     644655 |  0.39% |
|  ED | 237 |     |     644652 |  0.39% |
|  CE | 206 |     |     644647 |  0.39% |
|  40 |  64 |   @ |     644646 |  0.39% |
|  BC | 188 |     |     644639 |  0.39% |
|  B1 | 177 |     |     644628 |  0.39% |
|  2E |  46 |   . |     644583 |  0.39% |
|  01 |   1 |     |     644581 |  0.39% |
|  81 | 129 |     |     644580 |  0.39% |
|  2C |  44 |   , |     644579 |  0.39% |
|  94 | 148 |     |     644577 |  0.39% |
|  38 |  56 |   8 |     644524 |  0.39% |
|  75 | 117 |   u |     644457 |  0.39% |
|  C0 | 192 |     |     644453 |  0.39% |
|  B0 | 176 |     |     644434 |  0.39% |
|  27 |  39 |   ' |     644394 |  0.39% |
|  80 | 128 |     |     644392 |  0.39% |
|  7F | 127 |     |     644391 |  0.39% |
|  7C | 124 |   | |     644390 |  0.39% |
|  D7 | 215 |     |     644369 |  0.39% |
|  03 |   3 |     |     644355 |  0.39% |
|  16 |  22 |     |     644343 |  0.39% |
|  57 |  87 |   W |     644321 |  0.39% |
|  B8 | 184 |     |     644312 |  0.39% |
|  58 |  88 |   X |     644311 |  0.39% |
|  BB | 187 |     |     644309 |  0.39% |
|  99 | 153 |     |     644295 |  0.39% |
|  4D |  77 |   M |     644276 |  0.39% |
|  44 |  68 |   D |     644250 |  0.39% |
|  A0 | 160 |     |     644245 |  0.39% |
|  5F |  95 |   _ |     644241 |  0.39% |
|  60 |  96 |   ` |     644234 |  0.39% |
|  86 | 134 |     |     644225 |  0.39% |
|  5B |  91 |   [ |     644223 |  0.39% |
|  00 |   0 |     |     644209 |  0.39% |
|  7D | 125 |   } |     644194 |  0.39% |
|  7A | 122 |   z |     644185 |  0.39% |
|  E9 | 233 |     |     644181 |  0.39% |
|  D1 | 209 |     |     644176 |  0.39% |
|  B6 | 182 |     |     644173 |  0.39% |
|  3E |  62 |   > |     644153 |  0.39% |
|  B2 | 178 |     |     644146 |  0.39% |
|  62 |  98 |   b |     644137 |  0.39% |
|  82 | 130 |     |     644111 |  0.39% |
|  DB | 219 |     |     644105 |  0.39% |
|  09 |   9 |     |     644102 |  0.39% |
|  19 |  25 |     |     644097 |  0.39% |
|  11 |  17 |     |     644087 |  0.39% |
|  23 |  35 |   # |     644080 |  0.39% |
|  67 | 103 |   g |     644076 |  0.39% |
|  87 | 135 |     |     644072 |  0.39% |
|  B4 | 180 |     |     644066 |  0.39% |
|  42 |  66 |   B |     644063 |  0.39% |
|  EA | 234 |     |     644060 |  0.39% |
|  02 |   2 |     |     644050 |  0.39% |
|  AE | 174 |     |     644049 |  0.39% |
|  55 |  85 |   U |     644049 |  0.39% |
|  B9 | 185 |     |     644047 |  0.39% |
|  F6 | 246 |     |     644046 |  0.39% |
|  39 |  57 |   9 |     644040 |  0.39% |
|  C1 | 193 |     |     644035 |  0.39% |
|  F8 | 248 |     |     644027 |  0.39% |
|  59 |  89 |   Y |     643988 |  0.39% |
|  D0 | 208 |     |     643985 |  0.39% |
|  A6 | 166 |     |     643971 |  0.39% |
|  71 | 113 |   q |     643971 |  0.39% |
|  E4 | 228 |     |     643926 |  0.39% |
|  74 | 116 |   t |     643919 |  0.39% |
|  6F | 111 |   o |     643917 |  0.39% |
|  18 |  24 |     |     643909 |  0.39% |
|  97 | 151 |     |     643901 |  0.39% |
|  4F |  79 |   O |     643900 |  0.39% |
|  E6 | 230 |     |     643897 |  0.39% |
|  AB | 171 |     |     643894 |  0.39% |
|  73 | 115 |   s |     643879 |  0.39% |
|  DC | 220 |     |     643873 |  0.39% |
|  64 | 100 |   d |     643864 |  0.39% |
|  E5 | 229 |     |     643854 |  0.39% |
|  D8 | 216 |     |     643852 |  0.39% |
|  C2 | 194 |     |     643852 |  0.39% |
|  9A | 154 |     |     643847 |  0.39% |
|  51 |  81 |   Q |     643846 |  0.39% |
|  20 |  32 |     |     643836 |  0.39% |
|  52 |  82 |   R |     643825 |  0.39% |
|  A7 | 167 |     |     643813 |  0.39% |
|  28 |  40 |   ( |     643811 |  0.39% |
|  88 | 136 |     |     643792 |  0.39% |
|  AC | 172 |     |     643787 |  0.39% |
|  C6 | 198 |     |     643776 |  0.39% |
|  4A |  74 |   J |     643775 |  0.39% |
|  BD | 189 |     |     643773 |  0.39% |
|  BA | 186 |     |     643761 |  0.39% |
|  33 |  51 |   3 |     643758 |  0.39% |
|  6E | 110 |   n |     643757 |  0.39% |
|  2A |  42 |   * |     643756 |  0.39% |
|  08 |   8 |     |     643752 |  0.39% |
|  06 |   6 |     |     643747 |  0.39% |
|  8F | 143 |     |     643743 |  0.39% |
|  4B |  75 |   K |     643732 |  0.39% |
|  E8 | 232 |     |     643728 |  0.39% |
|  34 |  52 |   4 |     643717 |  0.39% |
|  CA | 202 |     |     643711 |  0.39% |
|  32 |  50 |   2 |     643710 |  0.39% |
|  14 |  20 |     |     643692 |  0.39% |
|  21 |  33 |   ! |     643658 |  0.39% |
|  FA | 250 |     |     643627 |  0.39% |
|  1C |  28 |     |     643623 |  0.39% |
|  49 |  73 |   I |     643610 |  0.39% |
|  E2 | 226 |     |     643595 |  0.39% |
|  47 |  71 |   G |     643586 |  0.39% |
|  EB | 235 |     |     643581 |  0.39% |
|  BF | 191 |     |     643580 |  0.39% |
|  04 |   4 |     |     643566 |  0.39% |
|  0E |  14 |     |     643559 |  0.39% |
|  F3 | 243 |     |     643549 |  0.39% |
|  9C | 156 |     |     643549 |  0.39% |
|  69 | 105 |   i |     643528 |  0.39% |
|  D4 | 212 |     |     643527 |  0.39% |
|  4E |  78 |   N |     643515 |  0.39% |
|  B3 | 179 |     |     643513 |  0.39% |
|  1F |  31 |     |     643509 |  0.39% |
|  22 |  34 |   " |     643507 |  0.39% |
|  0D |  13 |     |     643480 |  0.39% |
|  41 |  65 |   A |     643478 |  0.39% |
|  0A |  10 |     |     643473 |  0.39% |
|  8A | 138 |     |     643471 |  0.39% |
|  F4 | 244 |     |     643463 |  0.39% |
|  83 | 131 |     |     643458 |  0.39% |
|  72 | 114 |   r |     643441 |  0.39% |
|  C3 | 195 |     |     643422 |  0.39% |
|  54 |  84 |   T |     643413 |  0.39% |
|  D6 | 214 |     |     643407 |  0.39% |
|  66 | 102 |   f |     643404 |  0.39% |
|  7E | 126 |   ~ |     643378 |  0.39% |
|  8D | 141 |     |     643367 |  0.39% |
|  6A | 106 |   j |     643362 |  0.39% |
|  0C |  12 |     |     643352 |  0.39% |
|  F5 | 245 |     |     643349 |  0.39% |
|  6C | 108 |   l |     643348 |  0.39% |
|  05 |   5 |     |     643342 |  0.39% |
|  46 |  70 |   F |     643324 |  0.39% |
|  37 |  55 |   7 |     643321 |  0.39% |
|  12 |  18 |     |     643288 |  0.39% |
|  79 | 121 |   y |     643285 |  0.39% |
|  26 |  38 |   & |     643283 |  0.39% |
|  96 | 150 |     |     643282 |  0.39% |
|  91 | 145 |     |     643279 |  0.39% |
|  76 | 118 |   v |     643273 |  0.39% |
|  DE | 222 |     |     643254 |  0.39% |
|  3B |  59 |   ; |     643241 |  0.39% |
|  07 |   7 |     |     643234 |  0.39% |
|  77 | 119 |   w |     643232 |  0.39% |
|  15 |  21 |     |     643223 |  0.39% |
|  9E | 158 |     |     643220 |  0.39% |
|  6D | 109 |   m |     643212 |  0.39% |
|  EF | 239 |     |     643208 |  0.39% |
|  43 |  67 |   C |     643188 |  0.39% |
|  CD | 205 |     |     643171 |  0.39% |
|  F1 | 241 |     |     643164 |  0.39% |
|  DA | 218 |     |     643162 |  0.39% |
|  FD | 253 |     |     643150 |  0.39% |
|  AD | 173 |     |     643144 |  0.39% |
|  2D |  45 |   - |     643133 |  0.39% |
|  78 | 120 |   x |     643117 |  0.39% |
|  A2 | 162 |     |     643116 |  0.39% |
|  1A |  26 |     |     643115 |  0.39% |
|  DF | 223 |     |     643100 |  0.39% |
|  A3 | 163 |     |     643089 |  0.39% |
|  D5 | 213 |     |     643084 |  0.39% |
|  C7 | 199 |     |     643079 |  0.39% |
|  A9 | 169 |     |     643058 |  0.39% |
|  65 | 101 |   e |     643057 |  0.39% |
|  F9 | 249 |     |     643032 |  0.39% |
|  92 | 146 |     |     643026 |  0.39% |
|  5C |  92 |   \ |     643000 |  0.39% |
|  8E | 142 |     |     642996 |  0.39% |
|  F7 | 247 |     |     642974 |  0.39% |
|  2F |  47 |   / |     642958 |  0.39% |
|  17 |  23 |     |     642923 |  0.39% |
|  AA | 170 |     |     642907 |  0.39% |
|  89 | 137 |     |     642903 |  0.39% |
|  F2 | 242 |     |     642893 |  0.39% |
|  C4 | 196 |     |     642880 |  0.39% |
|  3F |  63 |   ? |     642861 |  0.39% |
|  CB | 203 |     |     642847 |  0.39% |
|  13 |  19 |     |     642837 |  0.39% |
|  9F | 159 |     |     642824 |  0.39% |
|  3C |  60 |   < |     642818 |  0.39% |
|  31 |  49 |   1 |     642817 |  0.39% |
|  C5 | 197 |     |     642815 |  0.39% |
|  3D |  61 |   = |     642810 |  0.39% |
|  29 |  41 |   ) |     642792 |  0.39% |
|  53 |  83 |   S |     642781 |  0.39% |
|  C9 | 201 |     |     642758 |  0.39% |
|  CF | 207 |     |     642753 |  0.39% |
|  25 |  37 |   % |     642695 |  0.39% |
|  5E |  94 |   ^ |     642682 |  0.39% |
|  EC | 236 |     |     642672 |  0.39% |
|  B5 | 181 |     |     642671 |  0.39% |
|  C8 | 200 |     |     642642 |  0.39% |
|  CC | 204 |     |     642632 |  0.39% |
|  FE | 254 |     |     642604 |  0.39% |
|  AF | 175 |     |     642598 |  0.39% |
|  48 |  72 |   H |     642553 |  0.39% |
|  36 |  54 |   6 |     642479 |  0.39% |
|  61 |  97 |   a |     642412 |  0.39% |
|  4C |  76 |   L |     642402 |  0.39% |
|  B7 | 183 |     |     642397 |  0.39% |
|  D9 | 217 |     |     642362 |  0.39% |
|  BE | 190 |     |     642358 |  0.39% |
|  8C | 140 |     |     642348 |  0.39% |
|  D3 | 211 |     |     642324 |  0.39% |
|  56 |  86 |   V |     642299 |  0.39% |
|  24 |  36 |   $ |     642292 |  0.39% |
|  7B | 123 |   { |     642231 |  0.39% |
|  35 |  53 |   5 |     642164 |  0.39% |
|  90 | 144 |     |     642060 |  0.39% |
|  1E |  30 |     |     641934 |  0.39% |
|  8B | 139 |     |     641752 |  0.39% |
|  FC | 252 |     |     641702 |  0.39% |
|  FF | 255 |     |     640504 |  0.39% |
------------------------------------------
| bytes:	256
| symbols:	 94
------------------------------------------
